CIRCOSCRIZIONE,COMUNE,ELETTORI,ELETTORI_MASCHI,VOTANTI,VOTANTI_MASCHI,SCHEDE_BIANCHE,CASAPOUND ITALIA,IL POPOLO DELLA FAMIGLIA,NOI CON L'ITALIA - UDC,LEGA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,+EUROPA,PARTITO DEMOCRATICO,ITALIA EUROPA INSIEME,CIVICA POPOLARE LORENZIN,LIBERI E UGUALI,PARTITO VALORE UMANO,POTERE AL POPOLO!,MOVIMENTO 5 STELLE,ITALIA AGLI ITALIANI,PARTITO REPUBBLICANO ITALIANO - ALA,10 VOLTE MEGLIO,PER UNA SINISTRA RIVOLUZIONARIA,GRANDE NORD,BLOCCO NAZIONALE PER LE LIBERTA',ITALIA NEL CUORE,RINASCIMENTO MIR,LISTA DEL POPOLO PER LA COSTITUZIONE,PATTO PER L'AUTONOMIA,SIAMO,PARTITO COMUNISTA,AUTODETERMINATZIONE,SVP - PATT,PD-UV-UVP-EPAV,POUR TOUS PER TUTTI PE TCHEUT,FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA,RISPOSTA CIVICA,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,VERRUA SAVOIA,1171,578,877,451,18,6,0,5,191,108,28,44,114,6,1,35,1,27,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,165,37.8563283922463,18.814139110604334
PIEMONTE 1,VILLAREGGIA,818,402,645,328,14,4,1,6,129,96,25,25,142,0,6,22,3,7,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,173,39.689922480620154,26.82170542635659
PIEMONTE 1,VOLPIANO,11993,5825,9072,4542,68,83,29,36,1754,1051,255,263,1734,33,31,291,24,70,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3096,2061,34.12698412698413,22.71825396825397
PIEMONTE 1,AIRASCA,2849,1446,2237,1148,22,19,15,9,393,212,63,49,422,6,4,66,7,12,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,481,30.2637460885114,21.502011622708984
PIEMONTE 1,CAMBIANO,4889,2336,3884,1917,32,37,21,34,681,493,124,170,792,7,15,95,4,26,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,984,34.29454170957775,25.334706488156538
PIEMONTE 1,CANDIOLO,4510,2241,3668,1836,30,34,34,18,624,343,94,133,695,16,17,111,6,27,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,861,29.41657579062159,23.473282442748094
PIEMONTE 1,CARIGNANO,7060,3403,5419,2678,90,51,39,29,1132,714,182,189,1002,26,23,172,18,66,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057,1240,37.95903303192471,22.88245063664883
PIEMONTE 1,CARMAGNOLA,21669,10573,16315,8214,159,146,130,85,3599,2227,527,491,2595,47,48,380,53,204,4426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6438,3181,39.460619062212686,19.497395035243642
PIEMONTE 1,CASTAGNOLE PIEMONTE,1692,840,1332,680,13,17,12,7,308,169,57,27,224,1,3,52,4,5,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,255,40.61561561561561,19.144144144144143
PIEMONTE 1,CERCENASCO,1448,711,1127,572,14,10,7,6,261,133,33,39,194,2,3,33,3,5,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,238,38.42058562555457,21.11801242236025
PIEMONTE 1,ISOLABELLA,311,151,257,121,1,0,12,0,53,23,7,4,61,0,1,3,2,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,66,32.295719844357976,25.680933852140075
PIEMONTE 1,LA LOGGIA,6952,3467,5558,2832,47,52,27,22,1004,628,191,134,802,29,14,146,9,30,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,979,33.195394026628286,17.614249730118747
PIEMONTE 1,LOMBRIASCO,826,443,639,351,14,6,3,3,175,98,22,13,111,1,19,15,1,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,144,46.635367762128325,22.535211267605636
PIEMONTE 1,MONCALIERI,44033,21092,33359,16434,235,274,210,157,5803,4010,1255,1530,6561,122,127,1079,78,311,8406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11225,8340,33.64909020054558,25.000749422944335
PIEMONTE 1,NICHELINO,37715,18148,28337,14049,232,209,138,223,4588,2845,755,642,5118,148,79,961,54,314,9814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8411,5987,29.68204114761619,21.12785404241804
PIEMONTE 1,NONE,6342,3114,4836,2407,39,40,29,16,888,555,119,88,801,21,16,192,5,30,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578,926,32.6302729528536,19.14805624483044
PIEMONTE 1,OSASIO,747,394,607,314,8,3,3,2,198,82,24,4,83,3,1,9,1,4,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,91,50.41186161449753,14.991762767710048
