CIRC-REG,COMUNE,ELETTORITOT,ELETTORIM,VOTANTITOT,VOTANTIM,SKBIANCHE,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,MOVIMENTO 5 STELLE,AZIONE - ITALIA VIVA - CALENDA,ITALEXIT PER L'ITALIA,UNIONE POPOLARE CON DE MAGISTRIS,ITALIA SOVRANA E POPOLARE,VITA,FRATELLI D'ITALIA CON GIORGIA MELONI,MASTELLA NOI DI CENTRO EUROPEISTI,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,FREE,SUD CHIAMA NORD,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,PARTITO COMUNISTA ITALIANO,PARTITO DELLA FOLLIA CREATIVA,FORZA DEL POPOLO,SUDTIROLER VOLKSPARTEI (SVP) - PATT,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,PINASCA,2416,1157,1504,721,31,154,79,4,281,65,58,1,115,126,44,42,28,15,304,0,0,0,0,0,0,0,0,0,541,405,35.97074468085106,26.9281914893617
PIEMONTE 1,PINEROLO,27870,13169,18274,8772,214,1317,1149,116,3787,817,814,81,2066,1674,424,392,234,222,3656,0,0,0,0,0,0,0,0,0,6238,5499,34.13593083068841,30.09193389515158
PIEMONTE 1,PIOBESI TORINESE,3081,1492,2231,1078,30,192,168,13,420,73,96,4,252,186,42,23,29,21,500,0,0,0,0,0,0,0,0,0,873,593,39.130434782608695,26.58000896458987
PIEMONTE 1,PIOSSASCO,14467,7011,9328,4573,90,787,608,23,1906,382,340,38,1329,657,238,94,131,91,1906,0,0,0,0,0,0,0,0,0,3324,2666,35.63464837049743,28.580617495711834
PIEMONTE 1,PISCINA,2692,1294,1791,875,26,198,164,8,241,47,50,10,201,126,49,14,25,12,488,0,0,0,0,0,0,0,0,0,858,348,47.90619765494137,19.430485762144052
PIEMONTE 1,POMARETTO,813,382,543,258,13,38,22,2,144,24,19,6,50,39,7,17,2,2,99,0,0,0,0,0,0,0,0,0,161,193,29.65009208103131,35.543278084714544
PIEMONTE 1,PORTE,846,431,558,281,8,54,46,3,113,37,23,1,64,35,24,8,3,4,116,0,0,0,0,0,0,0,0,0,219,174,39.247311827956985,31.182795698924732
PIEMONTE 1,PRAGELATO,460,256,318,182,4,29,24,1,36,11,16,1,17,25,5,6,3,1,105,0,0,0,0,0,0,0,0,0,159,64,50,20.125786163522015
PIEMONTE 1,PRALI,227,121,147,84,5,1,18,10,0,43,8,8,10,12,0,1,1,0,21,0,0,0,0,0,0,0,0,0,50,59,34.01360544217687,40.136054421768705
PIEMONTE 1,PRAMOLLO,184,99,101,53,2,8,1,0,26,9,3,1,3,8,2,0,2,0,15,0,0,0,0,0,0,0,0,0,24,39,23.762376237623762,38.613861386138616
